"icd9pro","d9carotid","d9cArtery","d9pArtery","d9BariatricSurg","d9Renal","d9Transplant","d9Dialysis","d9Kidney_Transplant"
"0801",0,0,0,0,0,0,0,0
"0802",0,0,0,0,0,0,0,0
"0809",0,0,0,0,0,0,0,0
"0811",0,0,0,0,0,0,0,0
"0819",0,0,0,0,0,0,0,0
"0820",0,0,0,0,0,0,0,0
"0821",0,0,0,0,0,0,0,0
"0822",0,0,0,0,0,0,0,0
"0823",0,0,0,0,0,0,0,0
"0824",0,0,0,0,0,0,0,0
"0825",0,0,0,0,0,0,0,0
"0831",0,0,0,0,0,0,0,0
"0832",0,0,0,0,0,0,0,0
"0833",0,0,0,0,0,0,0,0
"0834",0,0,0,0,0,0,0,0
"0835",0,0,0,0,0,0,0,0
"0836",0,0,0,0,0,0,0,0
"0837",0,0,0,0,0,0,0,0
"0838",0,0,0,0,0,0,0,0
"0841",0,0,0,0,0,0,0,0
"0842",0,0,0,0,0,0,0,0
"0843",0,0,0,0,0,0,0,0
"0844",0,0,0,0,0,0,0,0
"0849",0,0,0,0,0,0,0,0
"0851",0,0,0,0,0,0,0,0
"0852",0,0,0,0,0,0,0,0
"0859",0,0,0,0,0,0,0,0
"0861",0,0,0,0,0,0,0,0
"0862",0,0,0,0,0,0,0,0
"08622",0,0,0,0,0,0,0,0
"0863",0,0,0,0,0,0,0,0
"0864",0,0,0,0,0,0,0,0
"0869",0,0,0,0,0,0,0,0
"0870",0,0,0,0,0,0,0,0
"0871",0,0,0,0,0,0,0,0
"0872",0,0,0,0,0,0,0,0
"0873",0,0,0,0,0,0,0,0
"0874",0,0,0,0,0,0,0,0
"0881",0,0,0,0,0,0,0,0
"0882",0,0,0,0,0,0,0,0
"0883",0,0,0,0,0,0,0,0
"0884",0,0,0,0,0,0,0,0
"08848",0,0,0,0,0,0,0,0
"0885",0,0,0,0,0,0,0,0
"0886",0,0,0,0,0,0,0,0
"0887",0,0,0,0,0,0,0,0
"0889",0,0,0,0,0,0,0,0
"0891",0,0,0,0,0,0,0,0
"0892",0,0,0,0,0,0,0,0
"0893",0,0,0,0,0,0,0,0
"0899",0,0,0,0,0,0,0,0
"09",0,0,0,0,0,0,0,0
"090",0,0,0,0,0,0,0,0
"0911",0,0,0,0,0,0,0,0
"0912",0,0,0,0,0,0,0,0
"0919",0,0,0,0,0,0,0,0
"0921",0,0,0,0,0,0,0,0
"0923",0,0,0,0,0,0,0,0
"09359",0,0,0,0,0,0,0,0
"0941",0,0,0,0,0,0,0,0
"0942",0,0,0,0,0,0,0,0
"0943",0,0,0,0,0,0,0,0
"0944",0,0,0,0,0,0,0,0
"0951",0,0,0,0,0,0,0,0
"0953",0,0,0,0,0,0,0,0
"0959",0,0,0,0,0,0,0,0
"096",0,0,0,0,0,0,0,0
"0971",0,0,0,0,0,0,0,0
"0972",0,0,0,0,0,0,0,0
"0973",0,0,0,0,0,0,0,0
